origin,destination,volume
113669,116957,23831.25
113669,116962,42231.25
113669,117010,273646.25
113669,117020,20001.25
113669,117966,39230.0
113669,181006,66965.0
113669,181011,1655.0
113669,181027,23352.5
113669,195896,4717.5
113669,195926,395163.75
113669,195969,81932.5
113669,196014,17286.25
113669,196022,27131.25
113669,196061,4445.0
113669,196109,5752.5
113669,196702,3722.5
113669,196704,55.0
113686,106832,9805.0
113686,108865,1878.75
113686,112531,76875.0
113686,112601,19390.0
113686,113439,16222.5
113686,113445,10066.25
113686,113468,5046.25
113686,113498,33991.25
113686,113520,17977.5
113686,113555,40481.25
113686,113577,20545.0
113686,113638,36620.0
113686,113658,30732.5
113686,113669,128012.5
113686,114212,64423.75
113686,114273,18763.75
113686,115751,3441.25
113686,116640,1297.5
113686,116720,5475.0
113686,116733,17146.25
113686,116744,2106.25
113686,116769,21881.25
113686,116891,17028.75
113686,116901,3071.25
113686,116908,25240.0
113686,116910,3997.5
113686,116957,10812.5
113686,116962,2733.75
113686,117010,67981.25
113686,117020,3576.25
113686,117966,13012.5
113686,181006,33661.25
113686,181011,7437.5
113686,181027,4758.75
113686,181072,3777.5
113686,195865,2402.5
113686,195896,7272.5
113686,195944,111841.25
113686,195969,128790.0
113686,196014,1016.25
113686,196022,17235.0
113686,196061,16573.75
113686,196109,17948.75
113686,196702,15651.25
113686,196704,208.75
114212,106832,59735.0
114212,108865,3651.25
114212,112531,184273.75
114212,112601,41561.25
114212,113439,12515.0
114212,113445,2217.5
114212,113451,20586.25
114212,113498,35066.25
114212,113520,17677.5
114212,113555,40406.25
114212,113577,49433.75
114212,113638,14200.0
114212,113669,87325.0
114212,113686,75596.25
114212,114273,70443.75
114212,115751,5120.0
114212,116640,1017.5
114212,116720,8693.75
114212,116733,35590.0
114212,116744,3912.5
114212,116769,13043.75
114212,116891,14277.5
114212,116901,2553.75
114212,116908,20300.0
114212,116910,5140.0
114212,116957,3072.5
114212,116962,1707.5
114212,117010,81981.25
114212,117966,116378.75
114212,181006,26082.5
114212,181011,5401.25
114212,181027,6400.0
114212,181072,169996.25
114212,195865,6355.0
114212,195896,57172.5
114212,195969,199491.25
114212,196014,14573.75
114212,196022,6041.25
114212,196061,13648.75
114212,196109,14607.5
114212,196702,20808.75
114212,196704,343.75
114273,106832,82400.0
114273,112601,444288.75
114273,113439,4788.75
114273,113445,5751.25
114273,113498,10883.75
114273,113520,4286.25
114273,113555,22082.5
