origin,destination,volume
100430,107065,7223.75
100430,107144,3330.0
100430,107153,33373.75
100430,107200,6386.25
100430,107223,88916.25
100430,196150,168.75
100430,196755,4618.75
100430,260925,457138.75
100430,260943,336.25
100430,260984,166.25
100441,100273,42.5
100441,100286,5.0
100441,100289,53.75
100441,100333,260.0
100441,100380,3805.0
100441,100397,1023.75
100441,100422,5335.0
100441,100444,55848.75
100441,100487,1307.5
100441,100513,8173.75
100441,100520,28552.5
100441,107065,335.0
100441,107144,1066.25
100441,107203,21186.25
100441,196755,10068.75
100441,260943,3.75
100444,100273,210.0
100444,100286,361.25
100444,100289,692.5
100444,100315,191.25
100444,100324,1.25
100444,100333,4830.0
100444,100380,50533.75
100444,100397,34415.0
100444,100422,127992.5
100444,100430,4567.5
100444,100441,39882.5
100444,100487,37110.0
100444,100513,30663.75
100444,100520,3536.25
100444,107065,6480.0
100444,107144,34123.75
100444,107153,29185.0
100444,107203,60247.5
100444,107223,105965.0
100444,196150,152.5
100444,196755,68885.0
100444,260925,840.0
100444,260943,270.0
100444,260984,33.75
100487,100273,242.5
100487,100286,16038.75
100487,100289,14405.0
100487,100315,3795.0
100487,100324,68.75
100487,100333,5276.25
100487,100380,67173.75
100487,100397,142391.25
100487,100422,108048.75
100487,100430,9625.0
100487,100441,1771.25
100487,100444,35115.0
100487,100513,23180.0
100487,100520,1753.75
100487,106801,19115.0
100487,107065,72575.0
100487,107144,16740.0
100487,107153,2310.0
100487,107200,141.25
100487,107203,4452.5
100487,107223,6082.5
100487,196150,116.25
100487,196755,129182.5
100487,260925,25.0
100487,260943,4685.0
100487,260984,931.25
100513,100286,258.75
100513,100380,1626990.0
100513,100397,55000.0
100513,100422,79300.0
100513,100430,47648.75
100513,100441,20630.0
100513,100444,95816.25
100513,100487,38212.5
100513,100520,18498.75
100513,107065,34528.75
100513,107144,7092.5
100513,107153,13000.0
100513,107203,604071.25
100513,107223,41220.0
100513,196755,8321.25
100513,260925,5070.0
100513,260943,2655.0
100513,260984,28.75
100520,100273,61.25
100520,100286,31.25
100520,100289,108.75
100520,100380,7538.75
100520,100397,238.75
100520,100422,88.75
100520,100430,625.0
100520,100441,44726.25
100520,100444,666.25
100520,100487,1006.25
100520,100513,9825.0
