origin,destination,Traffic_flow_trucks_2010,Traffic_flow_trucks_2019,Traffic_flow_trucks_2030,Traffic_flow_tons_2010,Traffic_flow_tons_2019,Traffic_flow_tons_2030
106932,111588,39303.75,53908.75,80897.5,534531.0,733159.0,1100206.0
106932,111603,42315.0,51062.5,65871.25,575484.0,694450.0,895849.0
106932,111621,400947.5,515826.25,731820.0,5452886.0,7015237.0,9952752.0
106932,111657,49553.75,55292.5,63267.5,673931.0,751978.0,860438.0
106932,111699,40743.75,53355.0,76247.5,554115.0,725628.0,1036966.0
106932,181083,5006.25,8382.5,16825.0,68085.0,114002.0,228820.0
106932,181085,122.5,162.5,231.25,1666.0,2210.0,3145.0
106932,195727,2497.5,2797.5,3201.25,33966.0,38046.0,43537.0
106940,106968,74943.75,82553.75,93131.25,1019235.0,1122731.0,1266585.0
106940,106987,79060.0,76606.25,73710.0,1075216.0,1041845.0,1002456.0
106940,106997,20928.75,20281.25,19513.75,284631.0,275825.0,265387.0
106940,110970,61611.25,59698.75,57440.0,837913.0,811903.0,781184.0
106940,111052,34977.5,33892.5,32608.75,475694.0,460938.0,443479.0
106940,111059,1995.0,2227.5,2547.5,27132.0,30294.0,34646.0
106940,111069,38048.75,36867.5,35473.75,517463.0,501398.0,482443.0
106940,111077,96132.5,93150.0,89627.5,1307402.0,1266840.0,1218934.0
106940,111084,11871.25,11502.5,11067.5,161449.0,156434.0,150518.0
106940,111186,37886.25,36712.5,35322.5,515253.0,499290.0,480386.0
106940,111208,98408.75,95355.0,91750.0,1338359.0,1296828.0,1247800.0
106940,111217,86132.5,96143.75,109971.25,1171402.0,1307555.0,1495609.0
106940,111241,10535.0,10208.75,9822.5,143276.0,138839.0,133586.0
106940,111283,67110.0,65031.25,62571.25,912696.0,884425.0,850969.0
106940,111322,18102.5,17542.5,16877.5,246194.0,238578.0,229534.0
106940,111359,24547.5,23785.0,22886.25,333846.0,323476.0,311253.0
106940,111366,23437.5,22707.5,21848.75,318750.0,308822.0,297143.0
106940,111428,42270.0,40957.5,39407.5,574872.0,557022.0,535942.0
106940,111465,9061.25,8780.0,8447.5,123233.0,119408.0,114886.0
106940,111551,6676.25,6468.75,6223.75,90797.0,87975.0,84643.0
106940,111588,29542.5,28625.0,27542.5,401778.0,389300.0,374578.0
106940,111603,16815.0,16293.75,15676.25,228684.0,221595.0,213197.0
106940,111621,40871.25,45622.5,52183.75,555849.0,620466.0,709699.0
